"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.360021333E0,3.180436194E-1,4.285379052E-1,-1.456423700E-1
2.369992333E0,3.406037986E-1,4.469060004E-1,-2.179330736E-1
2.379962333E0,3.287366331E-1,5.259075165E-1,-2.388861924E-1
2.389933333E0,3.616157472E-1,5.055849552E-1,-1.482191384E-1
2.399904333E0,4.184636176E-1,8.133545518E-2,-9.106124938E-2
2.409874333E0,4.396874011E-1,-6.670735478E-1,-1.306688488E-1
2.419845333E0,4.769924283E-1,-1.324283957E0,-1.946685612E-1
2.429816333E0,5.361601710E-1,-1.697364330E0,-2.412270010E-1
2.439786333E0,5.374062657E-1,-1.654894233E0,-2.340344042E-1
2.449757333E0,5.005193353E-1,-1.279964805E0,-1.814870387E-1
2.459727333E0,4.531607926E-1,-7.178786993E-1,-8.319446445E-2
2.469698333E0,3.448106050E-1,5.890974309E-3,8.698552102E-2
2.479669333E0,2.197103649E-1,6.136883497E-1,2.360486537E-1
2.489639333E0,1.368873864E-1,9.159153104E-1,3.156513274E-1
2.499610333E0,6.399501115E-2,1.116308570E0,3.484442234E-1
2.509580333E0,4.039833695E-2,1.236662388E0,3.723785877E-1
2.519551334E0,6.999433786E-2,1.219766974E0,4.092354178E-1
2.529522333E0,1.044740230E-1,9.604794383E-1,3.981468081E-1
2.539492333E0,1.289498061E-1,5.852083564E-1,3.639453650E-1
2.549463333E0,1.658228636E-1,2.582032979E-1,3.574445844E-1
2.559434333E0,2.185489237E-1,7.822100073E-3,2.920581698E-1
2.569404333E0,2.615198493E-1,-6.524891406E-2,1.613834947E-1
2.579375333E0,2.715473771E-1,9.761492908E-2,7.304748893E-2
2.589345333E0,2.384850532E-1,3.500381410E-1,4.818661511E-2
2.599316333E0,2.017138451E-1,5.453706980E-1,7.228865474E-2
2.609287333E0,1.845481694E-1,6.338901520E-1,1.136696562E-1
2.619257333E0,2.112994939E-1,6.453226805E-1,1.697351933E-1
2.629228333E0,2.503273487E-1,5.239168406E-1,1.944727600E-1
2.639198333E0,2.625297010E-1,2.097329646E-1,1.474798769E-1
2.649169333E0,2.801440954E-1,-1.388833374E-1,6.467635185E-2
2.659140333E0,2.772466838E-1,-3.091474473E-1,5.891681649E-4
2.669110333E0,2.612304389E-1,-3.051327169E-1,-1.958800480E-2
2.679081333E0,2.569045126E-1,-2.386080772E-1,-4.546067119E-2
2.689052333E0,2.598174810E-1,-1.469090432E-1,-7.390084118E-2
2.699022333E0,2.185443789E-1,-5.481092259E-3,-8.007495105E-2
2.708993333E0,1.596869230E-1,1.770730019E-1,-4.613110051E-2
2.718963333E0,9.303908795E-2,3.352054656E-1,-9.785225615E-3
2.728934333E0,4.917575791E-2,4.536876380E-1,-9.599070996E-3
2.738905333E0,1.425523590E-2,5.268118382E-1,-2.000396512E-2
2.748875333E0,-7.505186833E-3,5.761983395E-1,-9.184874594E-3
2.758846333E0,-1.803744002E-3,5.841703415E-1,-3.085561329E-3
2.768817334E0,2.048518509E-3,5.399981141E-1,-2.942315862E-2
2.778787333E0,-1.065842994E-2,4.345457256E-1,-7.943817228E-2
2.788758333E0,-4.900129139E-2,3.422419131E-1,-1.174388155E-1
2.798728333E0,-7.113324851E-2,2.971644104E-1,-9.811089933E-2
2.808699333E0,-7.553865016E-2,2.817340493E-1,-4.512385279E-2
2.818670333E0,-7.135666162E-2,2.159245461E-1,-2.556912415E-2
2.828640333E0,-6.240684539E-2,1.003713161E-1,-6.610509753E-2
2.838611333E0,-2.882512100E-2,-1.843560860E-2,-1.375522166E-1
2.848581333E0,3.713046014E-2,-8.800430596E-2,-1.781377196E-1
2.858552333E0,9.166965634E-2,-1.318688840E-1,-1.872126758E-1
2.868523333E0,7.610454410E-2,-1.751481891E-1,-1.925869435E-1
2.878493333E0,-1.117247902E-2,-2.043455839E-1,-1.574506313E-1
2.888463708E0,-1.059866026E-1,-2.436216176E-1,-1.056585461E-1
2.898434708E0,-1.497049928E-1,-2.661160231E-1,-7.545229793E-2
2.908404708E0,-1.380041242E-1,-1.917552352E-1,-5.787491053E-2
2.918375708E0,-7.758094370E-2,-5.366842821E-2,-4.722817242E-2
2.928345708E0,-5.368264392E-3,5.087449029E-2,-5.027562752E-2
2.938316708E0,3.899541125E-2,8.473392576E-2,-7.426178455E-2
2.948287708E0,4.967415333E-2,1.904093288E-2,-1.092613190E-1
2.958257708E0,4.900854081E-2,-1.246019229E-1,-9.972237051E-2
2.968228708E0,3.190572187E-2,-3.152120709E-1,-5.112873763E-2
2.978199709E0,-1.320973691E-2,-4.962031245E-1,-1.863398589E-2
2.988169708E0,-5.544454232E-2,-5.596957803E-1,-4.780222662E-3
2.998140708E0,-5.602138117E-2,-4.562456906E-1,1.227150671E-2
3.008110708E0,-4.124163836E-2,-2.673213184E-1,1.105938107E-3
3.018081708E0,-1.867616922E-2,-8.514396101E-2,1.884550415E-2
3.028052708E0,-2.511249669E-2,1.103237085E-2,8.146041632E-2
3.038022708E0,-1.000538468E-1,1.453133649E-3,1.624557078E-1
3.047993708E0,-2.133284807E-1,-7.020214200E-2,2.426932901E-1
3.057963708E0,-2.961931527E-1,-1.252265871E-1,2.991630733E-1
3.067934708E0,-3.225373924E-1,-9.471103549E-2,2.920822501E-1
3.077905708E0,-2.782183886E-1,-7.716311608E-3,2.253543884E-1
3.087875708E0,-2.110254914E-1,7.573490590E-2,1.748752296E-1
3.097846708E0,-1.675847173E-1,1.071650162E-1,1.672416627E-1
3.107817708E0,-1.883057058E-1,1.020677239E-1,1.779020280E-1
3.117787708E0,-2.231007516E-1,1.259626895E-1,2.094595283E-1
3.127758708E0,-2.390570790E-1,1.527679414E-1,2.660082877E-1
3.137728708E0,-2.602510750E-1,1.789466590E-1,3.421566784E-1
3.147699708E0,-3.086726964E-1,2.099402696E-1,4.038738608E-1
3.157670708E0,-4.128231704E-1,2.969828248E-1,4.290996194E-1
3.167640708E0,-5.546852350E-1,4.823465347E-1,4.629390836E-1
3.177611708E0,-6.498424411E-1,6.587887406E-1,5.784358978E-1
3.187582708E0,-6.728329659E-1,7.773654461E-1,7.447436452E-1
3.197552708E0,-6.618295908E-1,9.242001176E-1,9.156227112E-1
3.207523708E0,-6.173249483E-1,1.069876432E0,1.012139082E0
3.217493708E0,-5.422964096E-1,1.189312935E0,9.582418799E-1
3.227464708E0,-4.955376983E-1,1.243720055E0,7.906398177E-1
3.237435708E0,-4.720745683E-1,1.272941947E0,6.311387420E-1
3.247405708E0,-4.337948263E-1,1.220261693E0,5.441633463E-1
3.257376708E0,-4.330047965E-1,9.193292260E-1,4.655089378E-1
3.267347708E0,-4.107287824E-1,4.739491045E-1,3.728937805E-1
3.277317708E0,-3.616673052E-1,7.603923976E-2,3.203262687E-1
3.287288708E0,-2.857840061E-1,-1.121828631E-1,3.220650554E-1
3.297258708E0,-2.065152526E-1,-1.635004729E-1,3.508056402E-1
3.307229708E0,-2.015662938E-1,-1.321297735E-1,3.264113367E-1
3.317200708E0,-2.256682366E-1,2.750817128E-2,2.989688218E-1
3.327170708E0,-2.626347542E-1,2.008091062E-1,2.867289484E-1
3.337141708E0,-2.868326008E-1,3.792663217E-1,3.182272911E-1
3.347112708E0,-2.978799045E-1,5.114107728E-1,3.700864911E-1
3.357082709E0,-3.257841766E-1,5.074324012E-1,3.621001244E-1
3.367053708E0,-3.687343001E-1,4.079987705E-1,3.665654361E-1
3.377023708E0,-4.140882492E-1,2.221078426E-1,4.361751080E-1
3.386994708E0,-4.537392557E-1,4.867240787E-2,5.332393646E-1
3.396965708E0,-4.973702729E-1,-3.732140735E-2,6.325174570E-1
3.406935708E0,-5.000944734E-1,-5.870153382E-2,6.509369612E-1
3.416906708E0,-4.808433652E-1,-7.595276088E-2,5.968708396E-1
3.426876708E0,-5.022789240E-1,-9.156953543E-2,5.242840052E-1
3.436847708E0,-5.320500135E-1,-9.532225877E-2,4.798297286E-1
3.446818708E0,-5.853036642E-1,-1.478384584E-1,5.034503937E-1
3.456788708E0,-6.146280169E-1,-2.965168357E-1,5.257481337E-1
3.466759708E0,-6.332451105E-1,-5.045126081E-1,5.198374987E-1
3.476730708E0,-6.385325789E-1,-5.914824009E-1,5.077953339E-1
3.486700708E0,-5.766047239E-1,-6.128944755E-1,3.914809227E-1
3.496671708E0,-4.218952358E-1,-5.292181969E-1,2.078463435E-1
3.506641708E0,-3.439884484E-1,-4.424385428E-1,-1.255486975E-3
3.516612708E0,-4.030112326E-1,-4.693025947E-1,-2.355780452E-1
3.526583708E0,-5.266399384E-1,-4.236943722E-1,-3.248653412E-1
3.536553708E0,-6.384148002E-1,-4.043138027E-1,-2.344964445E-1
3.546524708E0,-6.986605525E-1,-5.615452528E-1,-1.349490732E-1
3.556495708E0,-7.374274731E-1,-7.445872426E-1,-6.850212067E-2
3.566465708E0,-7.439841628E-1,-7.828619480E-1,3.320453316E-2
3.576436708E0,-7.480776310E-1,-7.341021895E-1,8.013557643E-2
3.586406708E0,-7.104018927E-1,-7.690681815E-1,5.434978753E-2
3.596377708E0,-6.499631405E-1,-8.476850986E-1,5.599831231E-3
3.606348709E0,-6.647055745E-1,-8.832575083E-1,-5.164934322E-2
3.616318708E0,-7.756861448E-1,-9.845967889E-1,-1.582750827E-1
3.626289708E0,-9.619042277E-1,-1.146825790E0,-2.330712974E-1
3.636260708E0,-1.146939158E0,-1.244771004E0,-1.858225018E-1
3.646230708E0,-1.292657256E0,-1.232226253E0,-7.607217412E-3
3.656201708E0,-1.297578812E0,-1.162716269E0,1.701117456E-1
3.666171708E0,-1.279093623E0,-1.088249683E0,2.477205098E-1
3.676142708E0,-1.291611433E0,-1.006070495E0,3.075497448E-1
3.686113708E0,-1.292640686E0,-9.255273938E-1,4.109728038E-1
3.696083708E0,-1.370343208E0,-8.273840547E-1,5.147261024E-1
3.706054708E0,-1.401166677E0,-8.292115331E-1,5.353679657E-1
3.716024708E0,-1.380617261E0,-9.597055316E-1,4.441710711E-1
3.725995708E0,-1.338762760E0,-1.145153880E0,3.170149922E-1
3.735966708E0,-1.253506064E0,-1.322128415E0,1.904709637E-1
3.745936708E0,-1.156498909E0,-1.401536703E0,1.226146817E-1
3.755907708E0,-1.062638402E0,-1.481893301E0,9.829197079E-2
3.765877708E0,-1.032536149E0,-1.641462922E0,7.542713732E-2
3.775848708E0,-1.041934133E0,-1.622301698E0,1.299761981E-1
3.785819708E0,-1.008654475E0,-1.534798503E0,1.621687561E-1
3.795789708E0,-9.351314306E-1,-1.359091997E0,1.592828929E-1
3.805760708E0,-8.593853116E-1,-1.130035996E0,9.397977591E-2
