"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.414111375E0,-6.414934248E-2,-4.811501801E-1,-3.243913352E-1
2.424081375E0,9.402379394E-3,-1.915857494E-1,-3.991723657E-1
2.434051375E0,1.277232617E-1,1.523682624E-1,-4.050461352E-1
2.444021375E0,2.472922802E-1,4.140630066E-1,-3.775412738E-1
2.453991375E0,3.166490793E-1,4.926851690E-1,-3.774000704E-1
2.463962375E0,2.959403396E-1,4.906195998E-1,-3.830278516E-1
2.473932375E0,2.413804084E-1,4.131246209E-1,-4.207332134E-1
2.483902375E0,2.009584159E-1,2.527490556E-1,-4.550887942E-1
2.493872375E0,1.783295870E-1,6.583244354E-2,-4.378637969E-1
2.503842375E0,1.846932024E-1,-4.020104930E-2,-4.011185467E-1
2.513812375E0,1.658166796E-1,-7.294190675E-2,-3.809885085E-1
2.523783375E0,1.282740980E-1,-5.869213492E-2,-3.549710214E-1
2.533753375E0,7.754429430E-2,1.469078008E-2,-3.300606012E-1
2.543723375E0,4.675230011E-2,1.943662614E-1,-2.826786935E-1
2.553693375E0,1.343727484E-2,3.056345880E-1,-2.251679152E-1
2.563663375E0,-2.784544975E-2,2.271011621E-1,-1.674172580E-1
2.573633375E0,-8.723478019E-2,1.067830399E-1,-8.581027389E-2
2.583604375E0,-1.684776992E-1,3.193197027E-2,-1.244445331E-2
2.593574375E0,-2.084064484E-1,5.250914395E-2,4.589444771E-2
2.603544375E0,-2.058383524E-1,1.000401825E-1,1.011843309E-1
2.613514375E0,-1.921126992E-1,1.388627142E-1,1.333377212E-1
2.623484375E0,-2.178020924E-1,2.060603946E-1,1.712427586E-1
2.633454375E0,-2.802063525E-1,2.728095949E-1,2.500989437E-1
2.643425375E0,-3.342882097E-1,2.999735475E-1,3.524255753E-1
2.653395375E0,-3.436233997E-1,2.575050294E-1,4.217465222E-1
2.663365375E0,-2.950444221E-1,8.907233179E-2,4.151858389E-1
2.673335375E0,-2.236908525E-1,-1.562837511E-1,2.933140993E-1
2.683305375E0,-1.560846418E-1,-2.917137444E-1,1.109181866E-1
2.693275375E0,-1.320237815E-1,-2.977762222E-1,-4.264786839E-2
2.703246375E0,-1.215700731E-1,-2.558303773E-1,-9.721523523E-2
2.713216375E0,-9.049816430E-2,-1.972406060E-1,-8.728747070E-2
2.723186375E0,-6.803440303E-2,-1.024818867E-1,-4.397409409E-2
2.733156375E0,-6.885726750E-2,1.986310817E-3,-1.518762950E-2
2.743126375E0,-6.458209455E-2,5.555686355E-2,-4.300647601E-2
2.753097375E0,-3.563545644E-2,3.097581305E-2,-1.127201617E-1
2.763067375E0,-9.403320029E-3,-4.580897838E-2,-1.149862558E-1
2.773037375E0,8.389232680E-3,-1.412881762E-1,-1.266376767E-2
2.783007375E0,5.600495636E-2,-2.955525815E-1,8.323133737E-2
2.792977375E0,9.366051853E-2,-5.310661793E-1,1.137592420E-1
2.802947375E0,7.954363525E-2,-6.951901317E-1,8.797158301E-2
2.812918375E0,4.705356807E-2,-7.156310678E-1,5.936241522E-2
2.822888375E0,9.424168617E-3,-7.108983397E-1,5.050713941E-2
2.832858375E0,-1.979365386E-2,-7.633009553E-1,7.760443538E-2
2.842828375E0,-9.413982742E-3,-7.768372893E-1,1.479531825E-1
2.852798375E0,3.074307181E-2,-7.034640908E-1,1.727419049E-1
2.862768375E0,3.651014715E-2,-6.507718563E-1,1.145004332E-1
2.872739375E0,1.910958998E-2,-6.434944868E-1,3.718809783E-2
2.882709375E0,-2.495374158E-2,-6.397338510E-1,1.249553543E-2
2.892679708E0,-7.589660585E-2,-6.634328961E-1,4.030577093E-2
2.902649708E0,-1.088846549E-1,-6.322515607E-1,8.780777454E-2
2.912619708E0,-9.870095551E-2,-5.791025758E-1,1.292813867E-1
2.922589708E0,-1.154682189E-1,-4.830953479E-1,1.840250492E-1
2.932560708E0,-1.569400728E-1,-3.342025876E-1,2.208878100E-1
2.942530708E0,-1.850044578E-1,-3.030132353E-1,2.274554223E-1
2.952500708E0,-1.755650789E-1,-4.077705443E-1,2.213657498E-1
2.962470708E0,-1.634719223E-1,-5.655487180E-1,2.128146142E-1
2.972440708E0,-2.378212661E-1,-6.748337746E-1,1.975399554E-1
2.982411708E0,-3.308564126E-1,-7.457649708E-1,1.608389318E-1
2.992381708E0,-4.131853878E-1,-7.152237296E-1,2.267925292E-1
3.002351708E0,-4.808675051E-1,-6.525302529E-1,3.921596408E-1
3.012321708E0,-5.388267040E-1,-7.220056653E-1,5.338237882E-1
3.022291708E0,-5.622635484E-1,-9.094786048E-1,5.802810788E-1
3.032261708E0,-5.255339742E-1,-1.009762764E0,5.413705111E-1
3.042232708E0,-4.044712186E-1,-9.489984512E-1,4.424031675E-1
3.052202708E0,-2.511048317E-1,-6.408563256E-1,3.373030424E-1
3.062172708E0,-7.318489999E-2,-1.352442503E-1,3.106059432E-1
3.072142708E0,9.166257083E-2,4.371446967E-1,3.991779387E-1
3.082112708E0,2.500567138E-1,9.482625723E-1,5.242977738E-1
3.092082708E0,3.821799159E-1,1.238908648E0,5.648331046E-1
3.102053708E0,4.971733391E-1,1.139620662E0,5.172789097E-1
3.112023708E0,5.993759632E-1,7.754461169E-1,3.464442492E-1
3.121993708E0,6.409074068E-1,3.195217550E-1,8.323604614E-2
3.131963708E0,5.743178725E-1,-1.010219753E-1,-1.310146451E-1
3.141933708E0,4.249675572E-1,-2.333382070E-1,-2.122993767E-1
3.151904708E0,2.766314149E-1,-1.358576566E-1,-1.611695439E-1
3.161874708E0,2.090950161E-1,9.954901040E-2,-4.265647382E-2
3.171844708E0,2.613621354E-1,5.303134918E-1,6.395128369E-2
3.181814708E0,3.127118647E-1,9.491844773E-1,1.115286499E-1
3.191784708E0,2.870392501E-1,1.153501391E0,1.183615476E-1
3.201754708E0,3.033098578E-1,1.258538604E0,1.247275770E-1
3.211725708E0,3.813360035E-1,1.190666199E0,1.217395663E-1
3.221695708E0,4.404134452E-1,7.781404257E-1,2.548386715E-2
3.231665708E0,4.315118194E-1,3.763710558E-1,-1.373436004E-1
3.241635708E0,3.396892250E-1,1.752070636E-1,-2.549876571E-1
3.251605708E0,2.342043668E-1,1.206957623E-1,-2.756885886E-1
3.261575708E0,1.281711459E-1,1.744838953E-1,-2.241833359E-1
3.271546708E0,1.804727130E-2,2.385115474E-1,-1.385900229E-1
3.281516708E0,-7.210499793E-2,3.190463185E-1,-4.564383626E-2
