"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.100063292E0,-2.192175686E-1,-8.443287760E-2,-2.896885276E-1
3.110032292E0,-2.207259834E-1,7.358126342E-2,-1.996468008E-1
3.120002292E0,-1.945835054E-1,2.507583201E-1,-1.031092331E-1
3.129969417E0,-1.597235352E-1,3.961173892E-1,-1.747636124E-2
3.139938417E0,-1.559773833E-1,4.581647813E-1,2.386935055E-2
3.149908417E0,-1.602461636E-1,4.219894409E-1,4.443986807E-3
3.159877417E0,-1.635912806E-1,2.789301276E-1,-5.707521364E-2
3.169847417E0,-1.732958406E-1,9.158979356E-2,-1.142207906E-1
3.179816417E0,-1.894379258E-1,-7.148706913E-2,-1.517683119E-1
3.189785417E0,-1.789722294E-1,-1.626534462E-1,-1.551705003E-1
3.199755417E0,-1.598253995E-1,-2.047437578E-1,-1.251329333E-1
3.209724417E0,-1.491858065E-1,-2.168467492E-1,-8.459509164E-2
3.219693417E0,-1.365955919E-1,-1.918261498E-1,-4.259532690E-2
3.229663417E0,-1.187433600E-1,-1.486794651E-1,4.313594196E-3
3.239632417E0,-9.816382080E-2,-1.000092551E-1,4.275149852E-2
3.249601417E0,-1.032664329E-1,-4.118508846E-2,6.706216931E-2
3.259571417E0,-1.193607822E-1,2.601602487E-2,9.188568592E-2
3.269540417E0,-1.338025779E-1,7.363441586E-2,7.788571715E-2
3.279509417E0,-1.463597566E-1,1.079991534E-1,4.302695766E-2
3.289479417E0,-1.281344146E-1,1.072665155E-1,4.201682284E-2
3.299448417E0,-1.110572517E-1,5.354801565E-2,5.677595735E-2
3.309418417E0,-1.032169089E-1,-2.324955910E-2,4.504553229E-2
3.319387417E0,-1.091126725E-1,-9.672826529E-2,1.745938882E-2
3.329356417E0,-1.182257459E-1,-1.772867739E-1,1.946740784E-3
3.339326417E0,-1.150531918E-1,-2.560867369E-1,8.021881804E-3
3.349295417E0,-1.050482243E-1,-2.972453535E-1,9.377164766E-3
3.359264417E0,-1.147171929E-1,-2.953077853E-1,2.603407018E-2
3.369234417E0,-1.306865662E-1,-2.272286117E-1,3.325256705E-2
3.379203417E0,-1.593843102E-1,-1.002892777E-1,3.878123313E-2
3.389172417E0,-1.727725565E-1,1.200078242E-2,6.813379377E-2
