"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.444322104E1,-4.239209747E1,-1.036794281E1,-2.823794556E1
1.445319204E1,-4.234380341E1,-1.050359344E1,-2.820092773E1
1.446316304E1,-4.256843567E1,-1.056259918E1,-2.793936157E1
1.447313404E1,-4.255229187E1,-1.071236420E1,-2.783337402E1
1.448310504E1,-4.264619446E1,-1.069930267E1,-2.831973267E1
1.449307604E1,-4.244789124E1,-1.093701172E1,-2.850753784E1
1.450304604E1,-4.254770660E1,-1.088018036E1,-2.849652100E1
1.451301704E1,-4.255525208E1,-1.109894562E1,-2.834094238E1
1.452298804E1,-4.255562592E1,-1.136389160E1,-2.812115479E1
1.453295904E1,-4.268285370E1,-1.150184631E1,-2.817926025E1
1.454293004E1,-4.291417694E1,-1.149040985E1,-2.777447510E1
1.455290204E1,-4.296993256E1,-1.168061066E1,-2.765301514E1
1.456287204E1,-4.312069702E1,-1.200452423E1,-2.740795898E1
1.457284304E1,-4.313969421E1,-1.192697144E1,-2.724044800E1
1.458281404E1,-4.297860718E1,-1.249124908E1,-2.697906494E1
1.459278504E1,-4.302864838E1,-1.261071777E1,-2.747393799E1
1.460275604E1,-4.280011749E1,-1.258020782E1,-2.714349365E1
1.461272704E1,-4.264709473E1,-1.277764130E1,-2.719586182E1
1.462269804E1,-4.251221466E1,-1.277608490E1,-2.762341309E1
1.463266804E1,-4.233446503E1,-1.294235229E1,-2.825460815E1
1.464263904E1,-4.245552826E1,-1.293984222E1,-2.832208252E1
1.465261004E1,-4.253016663E1,-1.279585266E1,-2.802828979E1
1.466258104E1,-4.268869019E1,-1.268380737E1,-2.812277222E1
1.467255204E1,-4.276623535E1,-1.275650787E1,-2.812393188E1
1.468252304E1,-4.298740387E1,-1.278642273E1,-2.765609741E1
1.469249404E1,-4.286995697E1,-1.281776428E1,-2.747805786E1
1.470246404E1,-4.271485901E1,-1.286304474E1,-2.808752441E1
1.471243504E1,-4.278368378E1,-1.293046570E1,-2.747671509E1
1.472240604E1,-4.299481201E1,-1.286692047E1,-2.740359497E1
1.473237704E1,-4.275058746E1,-1.280307007E1,-2.797549438E1
1.474234804E1,-4.291098022E1,-1.305471802E1,-2.740689087E1
1.475231904E1,-4.315348816E1,-1.306858063E1,-2.701596069E1
1.476228904E1,-4.298991394E1,-1.290902710E1,-2.722155762E1
1.477226004E1,-4.313405609E1,-1.306966400E1,-2.746752930E1
1.478223104E1,-4.321623993E1,-1.301689911E1,-2.716287231E1
1.479220204E1,-4.328318024E1,-1.344686127E1,-2.674826050E1
1.480217304E1,-4.343551636E1,-1.346982574E1,-2.594662476E1
