"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.282180388E1,1.426290894E1,-2.477346039E1,-3.172027588E1
4.283177388E1,1.423190308E1,-2.506857300E1,-3.153674316E1
4.284174388E1,1.396794128E1,-2.529362488E1,-3.208740234E1
4.285171388E1,1.332786560E1,-2.539286041E1,-3.207186890E1
4.286168387E1,1.243844604E1,-2.532452393E1,-3.217483521E1
4.287165387E1,1.140310669E1,-2.538429260E1,-3.219802856E1
4.288162387E1,1.027850342E1,-2.541326141E1,-3.289303589E1
4.289159387E1,8.719467163E0,-2.534477234E1,-3.339294434E1
4.290156487E1,6.845535278E0,-2.532623291E1,-3.388000488E1
4.291153487E1,4.777328491E0,-2.477774048E1,-3.459915161E1
4.292150487E1,2.408233643E0,-2.434448242E1,-3.546215820E1
4.293147487E1,2.408233643E0,-2.434448242E1,-3.546215820E1
4.294144487E1,-3.182617188E0,-2.254532623E1,-3.659216309E1
4.295141487E1,-5.736190796E0,-2.186434174E1,-3.667974854E1
4.296138488E1,-8.147308350E0,-2.158525085E1,-3.667993164E1
4.297135488E1,-1.026171875E1,-2.099318695E1,-3.619833374E1
4.298132488E1,-1.195187378E1,-2.071046448E1,-3.583847046E1
4.299129588E1,-1.320065308E1,-2.054957581E1,-3.548355103E1
4.300126588E1,-1.435778809E1,-2.035252380E1,-3.533862305E1
4.301123588E1,-1.515103149E1,-2.034491730E1,-3.536590576E1
4.302120587E1,-1.565361023E1,-2.028580475E1,-3.495648193E1
4.303117587E1,-1.618371582E1,-2.011853790E1,-3.482418823E1
4.304114587E1,-1.623838806E1,-2.017662048E1,-3.500753784E1
4.305111587E1,-1.566615295E1,-2.038446808E1,-3.557714844E1
4.306108587E1,-1.475675964E1,-2.072346497E1,-3.540661621E1
4.307105687E1,-1.369857788E1,-2.147323608E1,-3.494012451E1
4.308102687E1,-1.284967041E1,-2.185907745E1,-3.470352173E1
4.309099687E1,-1.218136597E1,-2.245202637E1,-3.478253174E1
4.310096687E1,-1.251333618E1,-2.270661163E1,-3.445114136E1
4.311093687E1,-1.318510437E1,-2.303654480E1,-3.375921631E1
4.312090688E1,-1.417781067E1,-2.291570282E1,-3.325198364E1
4.313087688E1,-1.518435669E1,-2.290083313E1,-3.297317505E1
4.314084688E1,-1.642256165E1,-2.288191223E1,-3.272991943E1
4.315081688E1,-1.781468201E1,-2.285783386E1,-3.249401855E1
4.316078788E1,-1.893740845E1,-2.306133270E1,-3.183004761E1
4.317075788E1,-2.002392578E1,-2.319551086E1,-3.122824097E1
4.318072787E1,-2.090547180E1,-2.337153625E1,-3.061483765E1
4.319069787E1,-2.205761719E1,-2.350379181E1,-3.015020752E1
4.320066787E1,-2.340425110E1,-2.358943939E1,-2.884634399E1
4.321063787E1,-2.459075165E1,-2.375141144E1,-2.753756714E1
4.322060787E1,-2.605807495E1,-2.409815979E1,-2.643023682E1
4.323057787E1,-2.724310303E1,-2.377136230E1,-2.556393433E1
4.324054887E1,-2.802904510E1,-2.281178284E1,-2.598043823E1
4.325051887E1,-2.825852966E1,-2.135474396E1,-2.650134277E1
4.326048887E1,-2.859091187E1,-1.926123047E1,-2.746032715E1
4.327045887E1,-2.866934204E1,-1.767118835E1,-2.873211670E1
4.328042888E1,-2.827804565E1,-1.650728607E1,-2.945446777E1
4.329039888E1,-2.697558594E1,-1.586685944E1,-3.117517090E1
4.330036888E1,-2.547528839E1,-1.549519348E1,-3.207968140E1
4.331033888E1,-2.364059448E1,-1.579290009E1,-3.322512817E1
4.332030888E1,-2.214270020E1,-1.553056335E1,-3.408596802E1
4.333027988E1,-2.094633484E1,-1.534166718E1,-3.471102905E1
4.334024987E1,-1.997515869E1,-1.533003998E1,-3.589514160E1
4.335021987E1,-1.928135681E1,-1.518183136E1,-3.612771606E1
4.336018987E1,-1.850691223E1,-1.557646942E1,-3.616787720E1
4.337015987E1,-1.802186584E1,-1.581089783E1,-3.620782471E1
4.338012987E1,-1.768388367E1,-1.603672028E1,-3.644061279E1
4.339009987E1,-1.757482910E1,-1.636523438E1,-3.606958008E1
4.340006987E1,-1.761976624E1,-1.632952118E1,-3.604776001E1
4.341003987E1,-1.753121948E1,-1.617854309E1,-3.601510620E1
4.342001087E1,-1.730772400E1,-1.631263733E1,-3.640609741E1
4.342998087E1,-1.702873230E1,-1.653488159E1,-3.664489746E1
4.343995088E1,-1.704100037E1,-1.640160370E1,-3.704907227E1
4.344992088E1,-1.700607300E1,-1.659219360E1,-3.697399902E1
4.345989088E1,-1.660954285E1,-1.679753113E1,-3.677713013E1
4.346986088E1,-1.612680054E1,-1.656471252E1,-3.701562500E1
4.347983088E1,-1.598677063E1,-1.654110718E1,-3.663204956E1
4.348980088E1,-1.584132385E1,-1.612961578E1,-3.700994873E1
4.349977087E1,-1.603875732E1,-1.595845032E1,-3.690246582E1
4.350974187E1,-1.615890503E1,-1.601274872E1,-3.683224487E1
4.351971187E1,-1.649391174E1,-1.631799316E1,-3.653750610E1
4.352968187E1,-1.683009338E1,-1.641535950E1,-3.692224121E1
4.353965187E1,-1.703312683E1,-1.637423706E1,-3.659094238E1
4.354962187E1,-1.753846741E1,-1.661809540E1,-3.592068481E1
4.355959187E1,-1.808628845E1,-1.675991821E1,-3.618524170E1
4.356956187E1,-1.856517029E1,-1.698890686E1,-3.583837891E1
4.357953187E1,-1.900306702E1,-1.682648468E1,-3.563946533E1
4.358950187E1,-1.912995911E1,-1.680522919E1,-3.535385132E1
4.359947288E1,-1.975357056E1,-1.658740997E1,-3.497912598E1
4.360944288E1,-1.975079346E1,-1.650186157E1,-3.541809082E1
4.361941288E1,-1.963256836E1,-1.666418457E1,-3.543463135E1
4.362938288E1,-1.941159058E1,-1.668166351E1,-3.536239624E1
4.363935288E1,-1.902462769E1,-1.680492401E1,-3.579925537E1
4.364932288E1,-1.852804565E1,-1.699906158E1,-3.545504761E1
4.365929287E1,-1.806221008E1,-1.727669525E1,-3.583605957E1
4.366926287E1,-1.731948853E1,-1.764121246E1,-3.598837280E1
4.367923287E1,-1.673481750E1,-1.802079773E1,-3.619055176E1
4.368920387E1,-1.633415222E1,-1.808979034E1,-3.594116211E1
4.369917425E1,-1.620402527E1,-1.814987183E1,-3.610168457E1
4.370914425E1,-1.591374207E1,-1.829168701E1,-3.654550171E1
4.371911425E1,-1.583523560E1,-1.872172546E1,-3.624713135E1
4.372908425E1,-1.588194275E1,-1.923317719E1,-3.615759277E1
4.373905425E1,-1.600703430E1,-1.950761414E1,-3.547567749E1
4.374902425E1,-1.592395020E1,-2.023044586E1,-3.517736816E1
4.375899425E1,-1.588430786E1,-2.067894745E1,-3.467752075E1
4.376896425E1,-1.585569763E1,-2.124027252E1,-3.417138672E1
4.377893525E1,-1.605966187E1,-2.173700714E1,-3.354293823E1
4.378890525E1,-1.632467651E1,-2.199634552E1,-3.339001465E1
4.379887525E1,-1.634072876E1,-2.221578217E1,-3.350286865E1
4.380884525E1,-1.632669067E1,-2.215623474E1,-3.350167847E1
4.381881525E1,-1.663655090E1,-2.229283142E1,-3.348941040E1
4.382878525E1,-1.659594727E1,-2.283519745E1,-3.336260986E1
4.383875525E1,-1.619651794E1,-2.303181458E1,-3.321710205E1
4.384872525E1,-1.626422119E1,-2.307079315E1,-3.306741333E1
4.385869625E1,-1.641032410E1,-2.306820679E1,-3.303344727E1
4.386866625E1,-1.669741821E1,-2.280727386E1,-3.343704224E1
4.387863625E1,-1.692541504E1,-2.268318939E1,-3.322073364E1
4.388860625E1,-1.735313416E1,-2.241082764E1,-3.272714233E1
4.389857625E1,-1.741705322E1,-2.237820435E1,-3.261694336E1
4.390854625E1,-1.748829651E1,-2.244078827E1,-3.272439575E1
4.391851625E1,-1.757588196E1,-2.228834534E1,-3.304107666E1
4.392848625E1,-1.728041077E1,-2.217904663E1,-3.326565552E1
4.393845625E1,-1.723703003E1,-2.225834656E1,-3.307125854E1
4.394842725E1,-1.720472717E1,-2.225179291E1,-3.289163208E1
4.395839725E1,-1.716630554E1,-2.219307709E1,-3.336227417E1
4.396836725E1,-1.713168335E1,-2.212118530E1,-3.352536011E1
4.397833725E1,-1.690280151E1,-2.197119141E1,-3.358941650E1
4.398830725E1,-1.693994141E1,-2.180422211E1,-3.340011597E1
4.399827725E1,-1.693580627E1,-2.176177216E1,-3.380731201E1
4.400824725E1,-1.692758179E1,-2.145063019E1,-3.370236206E1
4.401821725E1,-1.668487549E1,-2.114990234E1,-3.375973511E1
4.402818725E1,-1.656779480E1,-2.113607788E1,-3.388928223E1
