"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.652881321E1,9.511871338E-1,-3.735449219E1,-2.232183838E1
2.653878321E1,1.132263184E0,-3.745073700E1,-2.248080444E1
2.654875321E1,1.169876099E0,-3.734840393E1,-2.243045044E1
2.655872321E1,1.051910400E0,-3.760745239E1,-2.255386353E1
2.656869421E1,1.062362671E0,-3.748376465E1,-2.177539062E1
2.657866421E1,1.022445679E0,-3.777750397E1,-2.165759277E1
2.658863421E1,1.084747314E0,-3.796596146E1,-2.123129272E1
2.659860421E1,7.872924805E-1,-3.795435333E1,-2.098550415E1
2.660857421E1,7.245483398E-1,-3.770463181E1,-2.097671509E1
2.661854421E1,6.331481934E-1,-3.798197556E1,-2.107293701E1
2.662851421E1,7.374572754E-1,-3.790357971E1,-2.094427490E1
2.663848421E1,9.570922852E-1,-3.818576813E1,-2.074380493E1
2.664845421E1,1.228469849E0,-3.835969925E1,-2.062741089E1
2.665842421E1,1.329299927E0,-3.827103806E1,-2.076696777E1
2.666839421E1,1.500488281E0,-3.802061844E1,-2.078594971E1
2.667836421E1,1.788009644E0,-3.815347290E1,-2.080990601E1
2.668833521E1,1.928741455E0,-3.849395370E1,-2.064526367E1
2.669830521E1,2.005508423E0,-3.837134933E1,-2.053439331E1
2.670827521E1,2.388076782E0,-3.830051804E1,-2.077227783E1
2.671824521E1,2.632339478E0,-3.826432419E1,-2.089932251E1
2.672821521E1,2.774017334E0,-3.823042297E1,-2.084497070E1
2.673818521E1,2.861373901E0,-3.810235596E1,-2.110168457E1
2.674815521E1,2.964492798E0,-3.828610611E1,-2.042068481E1
2.675812521E1,3.176269531E0,-3.831842422E1,-2.074261475E1
2.676809521E1,3.552597046E0,-3.830071640E1,-2.077911377E1
2.677806521E1,3.634307861E0,-3.822114182E1,-2.098687744E1
2.678803521E1,3.648483276E0,-3.813291168E1,-2.061505127E1
2.679800521E1,4.010803223E0,-3.815751266E1,-2.098077393E1
2.680797521E1,4.111389160E0,-3.814525604E1,-2.068823242E1
2.681794621E1,4.292175293E0,-3.818316269E1,-2.081396484E1
2.682791621E1,4.429611206E0,-3.799124146E1,-2.126214600E1
2.683788621E1,4.773498535E0,-3.821176529E1,-2.114477539E1
2.684785621E1,5.050918579E0,-3.816930008E1,-2.084799194E1
2.685782621E1,5.381164551E0,-3.842385864E1,-2.093786621E1
2.686779621E1,5.197204590E0,-3.824337387E1,-2.077191162E1
2.687776621E1,5.254058838E0,-3.845406723E1,-2.106478882E1
2.688773621E1,5.428024292E0,-3.812821579E1,-2.126739502E1
2.689770621E1,5.530059814E0,-3.810434341E1,-2.105111694E1
2.690767621E1,5.689590454E0,-3.816064453E1,-2.097467041E1
2.691764621E1,5.944976807E0,-3.818351364E1,-2.072702026E1
2.692761621E1,6.142089844E0,-3.832572937E1,-2.030972290E1
2.693758621E1,6.087921143E0,-3.842662430E1,-2.024432373E1
2.694755721E1,6.207336426E0,-3.830581284E1,-2.011306763E1
2.695752721E1,6.318695068E0,-3.824077988E1,-2.039562988E1
2.696749779E1,6.279937744E0,-3.807310104E1,-2.029718018E1
2.697746779E1,6.328628540E0,-3.827514648E1,-2.014816284E1
2.698743779E1,6.399398804E0,-3.832270813E1,-2.011267090E1
2.699740779E1,6.626754761E0,-3.853874588E1,-2.005624390E1
2.700737779E1,6.780075073E0,-3.857266998E1,-1.977587891E1
2.701734779E1,6.845947266E0,-3.825384140E1,-1.956549072E1
2.702731779E1,6.652633667E0,-3.852239990E1,-1.967544556E1
2.703728779E1,6.811355591E0,-3.876403809E1,-1.937326050E1
2.704725779E1,7.065200806E0,-3.859093094E1,-1.939331055E1
2.705722779E1,7.006698608E0,-3.872415924E1,-1.902053833E1
2.706719879E1,7.069320679E0,-3.859726715E1,-1.888522339E1
2.707716879E1,7.054382324E0,-3.863338089E1,-1.856289673E1
2.708713879E1,7.247833252E0,-3.858881760E1,-1.884338379E1
2.709710879E1,7.084030151E0,-3.847026062E1,-1.931567383E1
2.710707879E1,7.217880249E0,-3.843599701E1,-1.894241333E1
2.711704879E1,7.350372314E0,-3.860243988E1,-1.902685547E1
2.712701879E1,7.256729126E0,-3.849719238E1,-1.890155029E1
2.713698879E1,7.278167725E0,-3.840903473E1,-1.939218140E1
2.714695879E1,7.162872314E0,-3.836376190E1,-1.899194336E1
2.715692879E1,7.203018188E0,-3.856708908E1,-1.887643433E1
2.716689879E1,7.362258911E0,-3.834546280E1,-1.858105469E1
2.717686879E1,7.332107544E0,-3.838961411E1,-1.885955811E1
2.718683979E1,7.393035889E0,-3.854240799E1,-1.830657959E1
2.719680979E1,7.496887207E0,-3.859801102E1,-1.852932739E1
